,Date,Tm,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
0,2021/3/27,LAC,PHI,W 122-112,240,45,85,0.529,34,59,0.576,11,26,0.423,21,27,0.778,122,39,77,0.506,29,51,0.569,10,26,0.385,24,33,0.727,112
1,2021/3/27,PHI,LAC,L 112-122,240,39,77,0.506,29,51,0.569,10,26,0.385,24,33,0.727,112,45,85,0.529,34,59,0.576,11,26,0.423,21,27,0.778,122
2,2021/3/27,MIL,NYK,L 96-102,240,36,87,0.414,22,51,0.431,14,36,0.389,10,16,0.625,96,40,93,0.43,24,49,0.49,16,44,0.364,6,8,0.75,102
3,2021/3/27,NYK,MIL,W 102-96,240,40,93,0.43,24,49,0.49,16,44,0.364,6,8,0.75,102,36,87,0.414,22,51,0.431,14,36,0.389,10,16,0.625,96
4,2021/3/27,HOU,MIN,W 129-107,240,50,92,0.543,32,53,0.604,18,39,0.462,11,13,0.846,129,36,85,0.424,23,45,0.511,13,40,0.325,22,28,0.786,107
5,2021/3/27,MIN,HOU,L 107-129,240,36,85,0.424,23,45,0.511,13,40,0.325,22,28,0.786,107,50,92,0.543,32,53,0.604,18,39,0.462,11,13,0.846,129
6,2021/3/27,DAL,NOP,L 103-112,240,37,83,0.446,27,52,0.519,10,31,0.323,19,24,0.792,103,42,81,0.519,33,55,0.6,9,26,0.346,19,29,0.655,112
7,2021/3/27,NOP,DAL,W 112-103,240,42,81,0.519,33,55,0.6,9,26,0.346,19,29,0.655,112,37,83,0.446,27,52,0.519,10,31,0.323,19,24,0.792,103
8,2021/3/27,BOS,OKC,W 111-94,240,44,96,0.458,32,58,0.552,12,38,0.316,11,14,0.786,111,34,83,0.41,23,45,0.511,11,38,0.289,15,24,0.625,94
9,2021/3/27,OKC,BOS,L 94-111,240,34,83,0.41,23,45,0.511,11,38,0.289,15,24,0.625,94,44,96,0.458,32,58,0.552,12,38,0.316,11,14,0.786,111
10,2021/3/27,CLE,SAC,L 98-100,240,37,84,0.44,28,58,0.483,9,26,0.346,15,23,0.652,98,41,80,0.513,34,50,0.68,7,30,0.233,11,14,0.786,100
11,2021/3/27,SAC,CLE,W 100-98,240,41,80,0.513,34,50,0.68,7,30,0.233,11,14,0.786,100,37,84,0.44,28,58,0.483,9,26,0.346,15,23,0.652,98
12,2021/3/27,CHI,SAS,L 104-120,240,41,95,0.432,33,61,0.541,8,34,0.235,14,18,0.778,104,46,85,0.541,36,60,0.6,10,25,0.4,18,28,0.643,120
13,2021/3/27,SAS,CHI,W 120-104,240,46,85,0.541,36,60,0.6,10,25,0.4,18,28,0.643,120,41,95,0.432,33,61,0.541,8,34,0.235,14,18,0.778,104
14,2021/3/27,MEM,UTA,L 110-126,240,39,97,0.402,30,64,0.469,9,33,0.273,23,30,0.767,110,46,92,0.5,27,47,0.574,19,45,0.422,15,20,0.75,126
15,2021/3/27,UTA,MEM,W 126-110,240,46,92,0.5,27,47,0.574,19,45,0.422,15,20,0.75,126,39,97,0.402,30,64,0.469,9,33,0.273,23,30,0.767,110
16,2021/3/27,DET,WAS,L 92-106,240,33,85,0.388,23,56,0.411,10,29,0.345,16,19,0.842,92,44,91,0.484,35,70,0.5,9,21,0.429,9,9,1,106
17,2021/3/27,WAS,DET,W 106-92,240,44,91,0.484,35,70,0.5,9,21,0.429,9,9,1,106,33,85,0.388,23,56,0.411,10,29,0.345,16,19,0.842,92
18,2021/3/26,CHO,MIA,W 110-105,240,39,79,0.494,21,36,0.583,18,43,0.419,14,19,0.737,110,40,87,0.46,25,44,0.568,15,43,0.349,10,20,0.5,105
19,2021/3/26,MIA,CHO,L 105-110,240,40,87,0.46,25,44,0.568,15,43,0.349,10,20,0.5,105,39,79,0.494,21,36,0.583,18,43,0.419,14,19,0.737,110
20,2021/3/26,DAL,IND,L 94-109,240,39,95,0.411,31,60,0.517,8,35,0.229,8,14,0.571,94,38,87,0.437,18,40,0.45,20,47,0.426,13,18,0.722,109
21,2021/3/26,IND,DAL,W 109-94,240,38,87,0.437,18,40,0.45,20,47,0.426,13,18,0.722,109,39,95,0.411,31,60,0.517,8,35,0.229,8,14,0.571,94
22,2021/3/26,BRK,DET,W 113-111,240,37,84,0.44,24,51,0.471,13,33,0.394,26,34,0.765,113,33,73,0.452,22,42,0.524,11,31,0.355,34,47,0.723,111
23,2021/3/26,DET,BRK,L 111-113,240,33,73,0.452,22,42,0.524,11,31,0.355,34,47,0.723,111,37,84,0.44,24,51,0.471,13,33,0.394,26,34,0.765,113
24,2021/3/26,ATL,GSW,W 124-108,240,46,84,0.548,33,51,0.647,13,33,0.394,19,24,0.792,124,39,78,0.5,27,50,0.54,12,28,0.429,18,26,0.692,108
25,2021/3/26,GSW,ATL,L 108-124,240,39,78,0.5,27,50,0.54,12,28,0.429,18,26,0.692,108,46,84,0.548,33,51,0.647,13,33,0.394,19,24,0.792,124
