Date,Tm,Opp,Result,MP,FG_AVG,FGA_AVG,FG%_AVG,2P_AVG,2PA_AVG,2P%_AVG,3P_AVG,3PA_AVG,3P%_AVG,FT_AVG,FTA_AVG,FT%_AVG,PTS_AVG,FG.1_AVG,FGA.1_AVG,FG%.1_AVG,2P.1_AVG,2PA.1_AVG,2P%.1_AVG,3P.1_AVG,3PA.1_AVG,3P%.1_AVG,FT.1_AVG,FTA.1_AVG,FT%.1_AVG,PTS.1_AVG,FG_players_AVG,FGA_players_AVG,FG%_players_AVG,3P_players_AVG,3PA_players_AVG,3P%_players_AVG,FT_players_AVG,FTA_players_AVG,FT%_players_AVG,ORB_players_AVG,DRB_players_AVG,TRB_players_AVG,AST_players_AVG,STL_players_AVG,BLK_players_AVG,TOV_players_AVG,PF_players_AVG,PTS_players_AVG,+/-_players_AVG,TS%_players_AVG,eFG%_players_AVG,3PAr_players_AVG,FTr_players_AVG,ORB%_players_AVG,DRB%_players_AVG,TRB%_players_AVG,AST%_players_AVG,STL%_players_AVG,BLK%_players_AVG,TOV%_players_AVG,USG%_players_AVG,ORtg_players_AVG,DRtg_players_AVG,BPM_players_AVG,A/T_AVG,FG_AVG_AVG
27/03/2021,LAC,PHI,W 122-112,240,38.4,86.9,0.4429,28.2,58.5,0.482,10.2,28.4,0.3528,16.7,24.3,0.6883,103.7,45,91.7,0.4913,33.5,61.9,0.5427,11.5,29.8,0.3937,15.5,21.4,0.7194,117,4.821930556,10.80675,0.467615319,1.333097222,3.507729167,0.288314347,2.153986111,3.033090278,0.537448979,1.020972222,4.0530625,5.074034722,2.741673611,0.952444444,0.354965278,1.922902778,2.211666667,13.13094444,-6.801006944,0.559756493,0.533027097,0.353246063,0.324154382,3.773186806,15.54880625,9.410400694,14.86077778,1.573520139,1.122502778,14.03619931,20.62348264,106.5836944,118.3849931,-1.402897222,1.68112322,22.2540625
27/03/2021,PHI,LAC,L 112-122,240,39.8,84.3,0.4731,27.8,53.1,0.5246,12,31.2,0.3844,15.7,20.6,0.7788,107.3,41.7,87.9,0.4748,26.8,51.9,0.517,14.9,36,0.4135,16.5,19.7,0.8325,114.8,4.707034722,9.9215,0.469145764,1.475340278,3.732506944,0.296992194,1.802520833,2.365111111,0.460025701,0.884048611,3.746409722,4.630458333,2.689715278,0.767444444,0.497618056,1.441777778,2.010986111,12.69193056,-3.060604167,0.568516326,0.541518889,0.382759889,0.246818639,3.743129167,15.61093611,9.722528472,14.81468194,1.351559722,1.669056944,11.59306528,19.99955,112.2853194,120.4220972,-0.243109028,1.996898509,21.27716667
27/03/2021,MIL,NYK,L 96-102,240,39.8,82.1,0.4857,27.9,50.4,0.5591,11.9,31.7,0.3733,16.4,22.2,0.7507,107.9,38.9,87.7,0.4439,26.7,56,0.4761,12.2,31.7,0.3844,16.6,22.6,0.724,106.6,4.574972222,9.666826389,0.503672347,1.3229375,3.646423611,0.294938618,2.058618056,2.734618056,0.445002514,0.759388889,4.124791667,4.884180556,2.983951389,0.843701389,0.673951389,1.712909722,2.065868056,12.5315,0.546159722,0.606600431,0.580886833,0.386139243,0.348529056,3.514634722,15.33132431,9.898765278,15.52840278,1.515209722,2.29861875,12.79785069,20.20600833,115.4593819,111.7836667,0.034771528,2.063925317,21.91728472
27/03/2021,NYK,MIL,W 102-96,240,43.9,96.3,0.4583,29.6,56.5,0.5247,14.3,39.8,0.3581,13.2,15.9,0.8382,115.3,44.7,93,0.4812,29.7,54.5,0.5444,15,38.5,0.3891,16.1,20.2,0.7938,120.5,5.603,11.98704861,0.461292049,1.745430556,4.785270833,0.330123264,1.743263889,2.050256944,0.495967979,0.966604167,4.154868056,5.121472222,3.505013889,1.026895833,0.579972222,1.56875,2.015256944,14.69469444,-3.045756944,0.566948271,0.535530674,0.414485174,0.17289109,3.735357639,15.53451597,9.428692361,16.02228194,1.683488889,1.765225694,10.95544792,20.20859028,110.9731736,116.6584861,0.10213125,2.515181707,24.92804861
27/03/2021,HOU,MIN,W 129-107,240,44,90.7,0.4856,29.1,53.7,0.539,14.9,37,0.4081,15.8,20.5,0.7736,118.7,41.3,89.3,0.4645,29.1,53,0.5542,12.2,36.3,0.3374,18.7,24.7,0.7668,113.5,5.151069444,10.64272917,0.489516444,1.765451389,4.346708333,0.343548972,1.905111111,2.420555556,0.537962514,1.130298611,4.134458333,5.264756944,3.358576389,0.809340278,0.658708333,1.742444444,2.256868056,13.97270139,3.269861111,0.598851681,0.576290729,0.424231118,0.221713785,4.766968056,15.77324653,10.39921806,16.77317778,1.331006944,2.068667361,12.62948403,19.99498125,118.1898681,111.6975417,-0.21524375,2.083167738,24.06408333
27/03/2021,MIN,HOU,L 107-129,240,41.6,88.7,0.4706,27.4,51.1,0.5405,14.2,37.6,0.3812,18.1,22.7,0.7985,115.5,38.1,90,0.4257,25.5,50.2,0.5081,12.6,39.8,0.3165,15.1,21.8,0.7105,103.9,4.861847222,10.36031944,0.460774694,1.655763889,4.411930556,0.324485625,2.131819444,2.6184375,0.60387759,1.101548611,4.353194444,5.454743056,3.020847222,0.906222222,0.526125,1.427840278,1.995541667,13.51127778,6.756458333,0.58258716,0.541778514,0.426637292,0.268153389,4.724891667,15.97508819,10.71399167,16.32727639,1.558481944,1.721722917,11.87187361,20.00522917,118.3796944,104.7327014,0.346425,2.215910316,23.41921528
27/03/2021,DAL,NOP,L 103-112,240,40.5,86.8,0.4668,26.6,51,0.5269,13.9,35.8,0.3889,17.2,20.5,0.827,112.1,42.8,87.3,0.4921,33.1,57,0.5796,9.7,30.3,0.3229,18.6,24.3,0.7748,113.9,4.892416667,10.16460417,0.446516875,1.650902778,4.124034722,0.338629326,2.167756944,2.526194444,0.476347556,0.921243056,3.350166667,4.271409722,2.866083333,0.986944444,0.687270833,1.440472222,2.102118056,13.60349306,0.186694444,0.568141174,0.524010021,0.422814604,0.302735819,3.936297222,14.59230625,9.084579167,15.03048542,1.734346528,2.2410375,11.01058542,20.00221736,112.3329722,116.9488056,-0.253457639,2.069187612,22.41520139
27/03/2021,NOP,DAL,W 112-103,240,37.9,88,0.4307,24,50.3,0.4771,13.9,37.7,0.3699,13.6,17.7,0.7594,103.3,41,85.3,0.4816,26.2,46,0.574,14.8,39.3,0.3772,13.5,17.3,0.7907,110.3,4.593388889,10.51629861,0.425657493,1.636708333,4.429458333,0.323734125,1.712229167,2.178145833,0.45524541,1.080993056,3.600069444,4.6810625,2.652916667,0.862972222,0.334173611,1.142395833,2.0598125,12.53571528,-3.396555556,0.529344451,0.507031257,0.436831535,0.193208847,4.259448611,15.63864583,9.507204861,14.67361389,1.544834028,1.241219444,9.316845833,19.99842083,110.3689306,118.3381042,-0.594459722,2.469319189,21.06684028
27/03/2021,BOS,OKC,W 111-94,240,41.7,88.3,0.4717,30.1,54.5,0.552,11.6,33.8,0.3442,15.8,20.4,0.7971,110.8,38.8,86.8,0.45,26.3,52.9,0.5039,12.5,33.9,0.3716,15.3,19.9,0.7716,105.4,4.927,10.3275,0.448931215,1.4254375,4.052763889,0.257808646,2.017597222,2.614395833,0.478186194,0.943611111,3.8943125,4.837923611,2.646027778,1.035534722,0.531631944,1.353743056,1.927236111,13.29703472,3.904659722,0.547562354,0.510868951,0.381650076,0.213667931,4.143861111,15.2523875,9.798608333,14.16557014,1.824097917,1.88665,11.72115417,19.99644444,110.9058819,107.771125,-0.284413194,2.20861848,22.34815278
27/03/2021,OKC,BOS,L 94-111,240,41.3,88.8,0.4655,25.7,49.7,0.5142,15.6,39.1,0.3999,17.5,22.9,0.7565,115.7,43.9,89.4,0.4932,28.2,50.6,0.5586,15.7,38.8,0.403,13.4,18.2,0.7825,116.9,5.140145833,10.95040278,0.469237403,1.887326389,4.759402778,0.332033243,2.272694444,2.902006944,0.530035694,1.294305556,3.814708333,5.109013889,3.150875,0.769763889,0.545965278,1.591243056,2.131402778,14.4403125,-0.610270833,0.590743403,0.558582701,0.456821264,0.277952285,5.096515972,15.26963472,9.989199306,15.70839375,1.320490972,1.858302778,11.16483958,20.20928264,120.6577292,121.0035417,0.254713889,2.153831256,24.01593056
