Team,,,,,Team,,,,,,,,,,,,,,,Opponent,,,,,,,,,,,,
Rk,Date,Tm,,Opp,Result,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,PTS
801,2021/1/30,MEM,@,SAS,W 129-112,240,51,91,0.56,34,56,0.607,17,35,0.486,10,15,0.667,129,39,83,0.47,26,54,0.481,13,29,0.448,21,26,0.808,112
802,2021/1/30,SAS,,MEM,L 112-129,240,39,83,0.47,26,54,0.481,13,29,0.448,21,26,0.808,112,51,91,0.56,34,56,0.607,17,35,0.486,10,15,0.667,129
803,2021/1/29,CHO,,IND,W 108-105,240,43,85,0.506,27,48,0.563,16,37,0.432,6,9,0.667,108,42,87,0.483,31,52,0.596,11,35,0.314,10,13,0.769,105
804,2021/1/29,IND,@,CHO,L 105-108,240,42,87,0.483,31,52,0.596,11,35,0.314,10,13,0.769,105,43,85,0.506,27,48,0.563,16,37,0.432,6,9,0.667,108
805,2021/1/29,MIN,,PHI,L 94-118,240,35,82,0.427,25,49,0.51,10,33,0.303,14,18,0.778,94,39,87,0.448,31,71,0.437,8,16,0.5,32,38,0.842,118
806,2021/1/29,PHI,@,MIN,W 118-94,240,39,87,0.448,31,71,0.437,8,16,0.5,32,38,0.842,118,35,82,0.427,25,49,0.51,10,33,0.303,14,18,0.778,94
807,2021/1/29,MIL,@,NOP,L 126-131,240,48,96,0.5,35,61,0.574,13,35,0.371,17,22,0.773,126,45,96,0.469,24,48,0.5,21,48,0.438,20,28,0.714,131
808,2021/1/29,NOP,,MIL,W 131-126,240,45,96,0.469,24,48,0.5,21,48,0.438,20,28,0.714,131,48,96,0.5,35,61,0.574,13,35,0.371,17,22,0.773,126
809,2021/1/29,CLE,@,NYK,L 81-102,240,29,84,0.345,21,58,0.362,8,26,0.308,15,18,0.833,81,39,80,0.488,29,53,0.547,10,27,0.37,14,16,0.875,102
810,2021/1/29,NYK,,CLE,W 102-81,240,39,80,0.488,29,53,0.547,10,27,0.37,14,16,0.875,102,29,84,0.345,21,58,0.362,8,26,0.308,15,18,0.833,81
811,2021/1/29,BRK,@,OKC,W 147-125,240,57,100,0.57,38,55,0.691,19,45,0.422,14,16,0.875,147,40,86,0.465,24,48,0.5,16,38,0.421,29,34,0.853,125
812,2021/1/29,OKC,,BRK,L 125-147,240,40,86,0.465,24,48,0.5,16,38,0.421,29,34,0.853,125,57,100,0.57,38,55,0.691,19,45,0.422,14,16,0.875,147
813,2021/1/29,LAC,@,ORL,W 116-90,240,46,94,0.489,33,57,0.579,13,37,0.351,11,11,1,116,32,89,0.36,22,56,0.393,10,33,0.303,16,18,0.889,90
814,2021/1/29,ORL,,LAC,L 90-116,240,32,89,0.36,22,56,0.393,10,33,0.303,16,18,0.889,90,46,94,0.489,33,57,0.579,13,37,0.351,11,11,1,116
815,2021/1/29,DEN,@,SAS,L 109-119,240,41,78,0.526,27,47,0.574,14,31,0.452,13,20,0.65,109,44,81,0.543,34,58,0.586,10,23,0.435,21,26,0.808,119
816,2021/1/29,SAS,,DEN,W 119-109,240,44,81,0.543,34,58,0.586,10,23,0.435,21,26,0.808,119,41,78,0.526,27,47,0.574,14,31,0.452,13,20,0.65,109
817,2021/1/29,SAC,@,TOR,W 126-124,240,43,78,0.551,27,42,0.643,16,36,0.444,24,31,0.774,126,42,86,0.488,29,54,0.537,13,32,0.406,27,33,0.818,124
818,2021/1/29,TOR,,SAC,L 124-126,240,42,86,0.488,29,54,0.537,13,32,0.406,27,33,0.818,124,43,78,0.551,27,42,0.643,16,36,0.444,24,31,0.774,126
